   Delta Time   |  Final Energy  |  %Diff Energy  | Maximum Deviation
  4.9999999E-03 |  0.3451843     | -2.3311050E-06 |  7.1601868E-03
  9.9999998E-03 |  0.3452043     |  5.5601169E-05 |  5.2909851E-03
  1.5000000E-02 |  0.3452112     |  7.5717740E-05 |  7.2154999E-03
  2.0000000E-02 |  0.3452216     |  1.0567676E-04 |  1.0177016E-02
  2.4999999E-02 |  0.3452571     |  2.0850440E-04 |  9.9413395E-03
  2.9999997E-02 |  0.3452911     |  3.0710149E-04 |  1.4819860E-02
  3.4999996E-02 |  0.3453616     |  5.1146169E-04 |  1.5910506E-02
  3.9999995E-02 |  0.3454546     |  7.8066112E-04 |  1.9582152E-02
  4.4999994E-02 |  0.3455607     |  1.0881081E-03 |  2.4612427E-02
  4.9999993E-02 |  0.3456963     |  1.4810287E-03 |  2.6779294E-02
